,id,source,destination,surge_multiplier,price,cab_type,datetime,short_summary,distance
452754,3e02b05f-76a8-4755-b4d8-acc702e3b184,Financial District,South Station,1.0,9.0,Lyft,2018-12-02 02:28:00, Partly Cloudy ,0.48
107605,7fe17cb6-b242-49c4-8108-5b9f53e4e729,North End,Beacon Hill,1.0,22.5,Lyft,2018-12-03 16:38:02, Partly Cloudy ,1.79
417550,f3e00706-44ce-46c0-94aa-8142eed1878b,Back Bay,Northeastern University,2.0,30.0,Lyft,2018-12-02 03:02:56, Mostly Cloudy ,1.11
220171,c1e5cf84-6d15-46b8-80e8-4037441faa71,Financial District,South Station,1.0,6.0,Uber,2018-12-15 23:20:05, Partly Cloudy ,0.39
260239,6934e3d3-7926-4d64-b749-db5d5715ba04,Haymarket Square,West End,1.0,15.0,Uber,2018-11-29 18:08:00, Partly Cloudy ,0.68
691385,cd124a94-8668-49e8-8ed8-faebed6c291d,North End,North Station,1.0,15.0,Uber,2018-12-18 09:40:04, Overcast ,1.03
597622,a27858cb-51da-432a-b9cc-b00cc2575a34,Boston University,Financial District,1.0,16.0,Uber,2018-12-15 00:15:03, Overcast ,4.74
684710,6c826ce6-8a35-485c-8585-74b47795a7dd,Back Bay,Boston University,1.0,26.0,Uber,2018-12-03 23:33:06, Clear ,1.41
312424,fc0a1502-c6e3-43cc-9c1b-bdaeac606571,West End,Boston University,1.0,10.5,Lyft,2018-11-28 12:38:07, Mostly Cloudy ,2.87
269256,274ca433-5daf-45a6-947e-9ef7b3651bfe,North Station,South Station,1.0,14.0,Uber,2018-11-30 19:38:08, Overcast ,2.17
83545,2d28ed15-df16-4a52-8f67-f8c7a273605f,Fenway,Financial District,1.0,22.5,Lyft,2018-11-28 23:38:07, Overcast ,4.4
444657,e495310f-7400-4fe0-911f-7bd1c61064f7,Haymarket Square,North Station,1.0,26.0,Uber,2018-12-17 11:55:08, Overcast ,0.49
666492,e0566a96-5515-4105-b987-c097f7417c84,Northeastern University,North Station,1.0,7.0,Lyft,2018-12-13 05:05:11, Clear ,3.2
97426,f7a1c74f-5060-4c4c-9cb0-1fac6d03f4af,Fenway,Theatre District,1.0,23.0,Uber,2018-12-01 23:23:01, Partly Cloudy ,2.66
268812,1a314f4c-f51f-4399-be72-a76afef27571,North End,Theatre District,1.0,7.5,Uber,2018-12-18 03:05:12, Overcast ,1.41
642196,1d93bfa4-8f23-4b9f-bf7b-dcdf0d035645,Fenway,Financial District,1.25,34.0,Lyft,2018-11-28 12:11:24, Mostly Cloudy ,5.41
458633,5ec82db7-8b1a-41c3-9b77-1e213c3db657,Northeastern University,North Station,1.0,22.5,Lyft,2018-12-17 11:10:12, Overcast ,3.22
20920,7566ef3d-054b-4031-92ed-293933e11520,Haymarket Square,Back Bay,1.0,16.5,Lyft,2018-12-15 09:45:09, Overcast ,2.29
397507,6b6f4460-2833-4d44-8704-823fbf95f4d2,North Station,Northeastern University,1.0,24.5,Uber,2018-11-26 17:53:09, Overcast ,3.31
370793,581c450b-7e56-48f0-9989-783309a4dfb6,North Station,Northeastern University,1.0,10.5,Uber,2018-12-16 17:20:06, Overcast ,3.3
35748,5ec6c889-a29d-41d7-ad88-9c5e277e2137,Haymarket Square,North Station,1.0,16.5,Lyft,2018-12-18 03:30:10, Overcast ,0.57
370427,a65b5106-8b8b-4855-95ab-d056386ca5fc,Boston University,West End,1.0,16.5,Uber,2018-11-30 10:23:01, Clear ,3.04
32776,1d348745-ad78-42e3-85ac-4a7f3882205a,Back Bay,Haymarket Square,1.0,19.5,Lyft,2018-12-16 00:10:08, Partly Cloudy ,2.2
657938,c719a83a-824b-446c-8e2a-fccee2a270f7,Back Bay,North End,1.0,16.0,Uber,2018-12-14 18:05:12, Mostly Cloudy ,2.84
520506,cb66ea88-5a63-4be1-aba7-683934543054,North End,Back Bay,1.0,14.0,Uber,2018-12-14 21:15:07, Mostly Cloudy ,2.33
76040,5ed00299-45eb-4ce1-ad92-64bf2aaf504d,Financial District,North End,1.0,7.0,Lyft,2018-12-03 23:52:59, Clear ,1.26
337680,8391583a-a458-4030-a3b4-c0f95307d55b,North Station,North End,1.0,11.0,Uber,2018-12-02 22:27:59, Overcast ,1.08
517208,9d9514e3-85d1-4e41-aefb-e2a382197cbd,South Station,Financial District,1.0,27.5,Lyft,2018-11-27 00:24:14, Rain ,0.55
85233,32c98984-f91e-4b1d-a157-2b16e6dda6a5,Northeastern University,West End,1.0,19.5,Lyft,2018-11-28 20:53:08, Overcast ,2.84
220713,a7a79bde-ad8f-4ff4-821a-24caad8c9ec0,West End,Haymarket Square,1.0,7.0,Lyft,2018-11-28 15:02:07, Mostly Cloudy ,0.76
139300,162156c1-5817-452f-b36e-1b4b8180d126,Boston University,North Station,1.0,38.5,Lyft,2018-12-14 14:50:04, Clear ,3.48
430158,21372e6b-7322-4d09-a6a1-bd12acc1ea67,Theatre District,Northeastern University,1.0,18.0,Uber,2018-11-26 15:11:09, Drizzle ,1.8
76386,26ed9915-1f97-463b-8a1b-730c8e1b2f6c,Beacon Hill,Boston University,1.0,15.0,Uber,2018-12-17 06:30:10, Possible Drizzle ,2.27
542364,1c35eec8-d214-499b-a09c-cbf8e8ecbde3,West End,South Station,1.0,9.5,Uber,2018-12-14 15:10:14, Clear ,2.14
44984,e9085024-354c-4f19-a9d7-de9cca8735d9,Theatre District,South Station,1.0,27.5,Uber,2018-12-04 06:02:58, Overcast ,0.55
526065,35b11943-fe6e-4f23-9e9b-4215e69fb8d1,Boston University,Beacon Hill,1.0,7.0,Lyft,2018-12-15 00:05:03, Overcast ,2.62
397549,94d703ac-71cf-4077-9906-05fb81dc9f7d,Fenway,North Station,1.0,23.0,Uber,2018-11-27 02:36:23, Rain ,3.07
691460,39125ef7-53b0-4583-818b-814304a4295a,North End,North Station,1.0,27.5,Uber,2018-12-02 17:07:59, Light Rain ,1.03
254117,2cb78a86-59f5-48dd-b581-fa724af75b9c,Haymarket Square,Back Bay,1.0,22.5,Uber,2018-11-30 17:28:02, Mostly Cloudy ,2.3
519069,ad1201ba-36e6-4ed2-badb-11a8e8259cd8,North End,West End,1.0,10.5,Uber,2018-12-04 03:23:00, Mostly Cloudy ,1.16
150782,a2f83b7f-24de-4817-82f7-74467c850740,Northeastern University,Financial District,1.0,21.0,Uber,2018-11-27 00:57:23, Rain ,4.55
335432,c24e35da-04db-43b9-be5b-0a5a068bcd43,West End,Boston University,1.0,10.5,Uber,2018-12-01 03:37:58, Mostly Cloudy ,2.8
270061,947b4474-7881-4c98-afa9-e7297957fb60,Boston University,Theatre District,1.0,30.5,Uber,2018-11-27 01:27:21, Rain ,2.45
458241,25958a2a-5e93-47ac-bc91-30463d84c37d,West End,North End,1.0,8.0,Uber,2018-12-03 22:13:02, Partly Cloudy ,1.86
593579,dd5738dd-ad65-4233-8151-34c549df699f,West End,Haymarket Square,1.0,27.5,Lyft,2018-11-26 21:08:10, Overcast ,0.84
14626,1e9bbca9-374b-422c-bd27-9b49da81314f,North End,Financial District,1.0,8.5,Uber,2018-12-14 19:10:05, Partly Cloudy ,1.22
604626,e1bfca36-2b6c-4c0e-acd0-74d283533f40,Boston University,Beacon Hill,1.0,7.0,Lyft,2018-11-27 01:18:21, Rain ,2.63
432218,b6ad3976-3722-4b39-b890-4042bdcbf1d3,West End,Fenway,1.0,9.5,Uber,2018-11-26 18:41:09, Overcast ,2.84
88458,a9b371db-01f1-42e8-9920-8624f55a8c01,Theatre District,Northeastern University,1.0,14.5,Uber,2018-12-16 23:20:08, Light Rain ,1.8
294589,cd574968-0e5f-40b2-b3b2-75a669cbfd25,Theatre District,North End,2.0,13.5,Lyft,2018-11-27 05:36:22, Rain ,1.69
